Circuit,Class,Constructor,Country,Rider,Season,Class_Clean,Country_Full
Circuit Of The Americas,Moto3™,KTM,ES,Jaume Masia,2022,Moto3™,SPAIN
Circuit Of The Americas,Moto2™,Kalex,IT,Tony Arbolino,2022,Moto2™,ITALY
Circuit Of The Americas,MotoGP™,Ducati,IT,Enea Bastianini,2022,MotoGP,ITALY
Termas de Río Hondo,Moto3™,GASGAS,ES,Sergio Garcia,2022,Moto3™,SPAIN
Termas de Río Hondo,MotoGP™,Aprilia,ES,Aleix Espargaro,2022,MotoGP,SPAIN
Termas de Río Hondo,Moto2™,Kalex,IT,Celestino Vietti,2022,Moto2™,ITALY
Pertamina Mandalika Circuit,MotoGP™,KTM,PT,Miguel Oliveira,2022,MotoGP,PORTUGAL
Pertamina Mandalika Circuit,Moto2™,Kalex,TH,Somkiat Chantra,2022,Moto2™,THAILAND
Pertamina Mandalika Circuit,Moto3™,Honda,IT,Dennis Foggia,2022,Moto3™,ITALY
Lusail International Circuit,Moto3™,Honda,IT,Andrea Migno,2022,Moto3™,ITALY
Lusail International Circuit,Moto2™,Kalex,IT,Celestino Vietti,2022,Moto2™,ITALY
Lusail International Circuit,MotoGP™,Ducati,IT,Enea Bastianini,2022,MotoGP,ITALY
Circuit Ricardo Tormo,Moto2™,Kalex,ES,Raul Fernandez,2021,Moto2™,SPAIN
Circuit Ricardo Tormo,MotoGP™,Ducati,IT,Francesco Bagnaia,2021,MotoGP,ITALY
Circuit Ricardo Tormo,Moto3™,Honda,ES,Xavier Artigas,2021,Moto3™,SPAIN
Autódromo Internacional do Algarve,Moto3™,KTM,ES,Pedro Acosta,2021,Moto3™,SPAIN
Autódromo Internacional do Algarve,Moto2™,Kalex,AU,Remy Gardner,2021,Moto2™,AUSTRALIA
Autódromo Internacional do Algarve,MotoGP™,Ducati,IT,Francesco Bagnaia,2021,MotoGP,ITALY
Misano World Circuit Marco Simoncelli,Moto3™,Honda,IT,Dennis Foggia,2021,Moto3™,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Honda,ES,Marc Marquez,2021,MotoGP,SPAIN
Misano World Circuit Marco Simoncelli,Moto2™,Kalex,GB,Sam Lowes,2021,Moto2™,GREAT BRITAIN
Circuit Of The Americas,Moto3™,GASGAS,ES,Izan Guevara,2021,Moto3™,SPAIN
Circuit Of The Americas,MotoGP™,Honda,ES,Marc Marquez,2021,MotoGP,SPAIN
Circuit Of The Americas,Moto2™,Kalex,ES,Raul Fernandez,2021,Moto2™,SPAIN
Misano World Circuit Marco Simoncelli,Moto3™,Honda,IT,Dennis Foggia,2021,Moto3™,ITALY
Misano World Circuit Marco Simoncelli,MotoE™,Energica,IT,Matteo Ferrari,2021,MotoE™,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Ducati,IT,Francesco Bagnaia,2021,MotoGP,ITALY
Misano World Circuit Marco Simoncelli,Moto2™,Kalex,ES,Raul Fernandez,2021,Moto2™,SPAIN
Misano World Circuit Marco Simoncelli,MotoE™,Energica,ES,Jordi Torres,2021,MotoE™,SPAIN
MotorLand Aragón,Moto3™,Honda,IT,Dennis Foggia,2021,Moto3™,ITALY
MotorLand Aragón,MotoGP™,Ducati,IT,Francesco Bagnaia,2021,MotoGP,ITALY
MotorLand Aragón,Moto2™,Kalex,ES,Raul Fernandez,2021,Moto2™,SPAIN
Silverstone Circuit,Moto3™,Husqvarna,IT,Romano Fenati,2021,Moto3™,ITALY
Silverstone Circuit,Moto2™,Kalex,AU,Remy Gardner,2021,Moto2™,AUSTRALIA
Silverstone Circuit,MotoGP™,Yamaha,FR,Fabio Quartararo,2021,MotoGP,FRANCE
Red Bull Ring - Spielberg,Moto3™,GASGAS,ES,Sergio Garcia,2021,Moto3™,SPAIN
Red Bull Ring - Spielberg,Moto2™,Kalex,ES,Raul Fernandez,2021,Moto2™,SPAIN
Red Bull Ring - Spielberg,MotoGP™,KTM,ZA,Brad Binder,2021,MotoGP,SOUTH AFRICA
Red Bull Ring - Spielberg,MotoE™,Energica,DE,Lukas Tulovic,2021,MotoE™,GERMANY
Red Bull Ring - Spielberg,MotoGP™,Ducati,ES,Jorge Martin,2021,MotoGP,SPAIN
Red Bull Ring - Spielberg,Moto3™,KTM,ES,Pedro Acosta,2021,Moto3™,SPAIN
Red Bull Ring - Spielberg,Moto2™,Kalex,IT,Marco Bezzecchi,2021,Moto2™,ITALY
TT Circuit Assen,Moto2™,Kalex,ES,Raul Fernandez,2021,Moto2™,SPAIN
TT Circuit Assen,Moto3™,Honda,IT,Dennis Foggia,2021,Moto3™,ITALY
TT Circuit Assen,MotoGP™,Yamaha,FR,Fabio Quartararo,2021,MotoGP,FRANCE
TT Circuit Assen,MotoE™,Energica,BR,Eric Granado,2021,MotoE™,BRAZIL
Sachsenring,MotoGP™,Honda,ES,Marc Marquez,2021,MotoGP,SPAIN
Sachsenring,Moto2™,Kalex,AU,Remy Gardner,2021,Moto2™,AUSTRALIA
Sachsenring,Moto3™,KTM,ES,Pedro Acosta,2021,Moto3™,SPAIN
Circuit de Barcelona-Catalunya,MotoGP™,KTM,PT,Miguel Oliveira,2021,MotoGP,PORTUGAL
Circuit de Barcelona-Catalunya,MotoE™,Energica,ES,Miquel Pons,2021,MotoE™,SPAIN
Circuit de Barcelona-Catalunya,Moto2™,Kalex,AU,Remy Gardner,2021,Moto2™,AUSTRALIA
Circuit de Barcelona-Catalunya,Moto3™,GASGAS,ES,Sergio Garcia,2021,Moto3™,SPAIN
Autodromo Internazionale del Mugello,Moto3™,Honda,IT,Dennis Foggia,2021,Moto3™,ITALY
Autodromo Internazionale del Mugello,MotoGP™,Yamaha,FR,Fabio Quartararo,2021,MotoGP,FRANCE
Autodromo Internazionale del Mugello,Moto2™,Kalex,AU,Remy Gardner,2021,Moto2™,AUSTRALIA
Le Mans,Moto3™,GASGAS,ES,Sergio Garcia,2021,Moto3™,SPAIN
Le Mans,MotoE™,Energica,BR,Eric Granado,2021,MotoE™,BRAZIL
Le Mans,Moto2™,Kalex,ES,Raul Fernandez,2021,Moto2™,SPAIN
Le Mans,MotoGP™,Ducati,AU,Jack Miller,2021,MotoGP,AUSTRALIA
Circuito de Jerez - Angel Nieto,Moto2™,Kalex,IT,Fabio Di Giannantonio,2021,Moto2™,ITALY
Circuito de Jerez - Angel Nieto,Moto3™,KTM,ES,Pedro Acosta,2021,Moto3™,SPAIN
Circuito de Jerez - Angel Nieto,MotoGP™,Ducati,AU,Jack Miller,2021,MotoGP,AUSTRALIA
Circuito de Jerez - Angel Nieto,MotoE™,Energica,IT,Alessandro Zaccone,2021,MotoE™,ITALY
Autódromo Internacional do Algarve,Moto3™,KTM,ES,Pedro Acosta,2021,Moto3™,SPAIN
Autódromo Internacional do Algarve,Moto2™,Kalex,ES,Raul Fernandez,2021,Moto2™,SPAIN
Autódromo Internacional do Algarve,MotoGP™,Yamaha,FR,Fabio Quartararo,2021,MotoGP,FRANCE
Lusail International Circuit,Moto2™,Kalex,GB,Sam Lowes,2021,Moto2™,GREAT BRITAIN
Lusail International Circuit,Moto3™,KTM,ES,Pedro Acosta,2021,Moto3™,SPAIN
Lusail International Circuit,MotoGP™,Yamaha,FR,Fabio Quartararo,2021,MotoGP,FRANCE
Lusail International Circuit,MotoGP™,Yamaha,ES,Maverick Viñales,2021,MotoGP,SPAIN
Lusail International Circuit,Moto2™,Kalex,GB,Sam Lowes,2021,Moto2™,GREAT BRITAIN
Lusail International Circuit,Moto3™,KTM,ES,Jaume Masia,2021,Moto3™,SPAIN
Autódromo Internacional do Algarve,Moto3™,KTM,ES,Raul Fernandez,2020,Moto3™,SPAIN
Autódromo Internacional do Algarve,MotoGP™,KTM,PT,Miguel Oliveira,2020,MotoGP,PORTUGAL
Autódromo Internacional do Algarve,Moto2™,Kalex,AU,Remy Gardner,2020,Moto2™,AUSTRALIA
